City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,la mira,18.035,-102.3266,30.16,65,42,3.38,MX,1699910029
322,slave lake,55.2834,-114.769,2.99,48,75,1.54,CA,1699910029
323,tual,-5.6667,132.75,27.58,76,37,3.65,ID,1699910029
324,byron bay,-28.65,153.6167,20.39,72,78,0.33,AU,1699910029
325,greenville,35.6127,-77.3663,17.09,52,0,0.45,US,1699909451
326,sur,22.5667,59.5289,24.68,53,6,1.04,OM,1699910029
327,stanthorpe,-28.6667,151.95,15.79,99,86,2.5,AU,1699910029
328,wukari,7.85,9.7833,26.73,72,100,1.61,NG,1699910029
329,hadibu,12.65,54.0333,26.37,85,97,4.19,YE,1699910029
330,aranda de duero,41.6704,-3.6892,12.46,82,20,2.94,ES,1699910030
331,ancud,-41.8697,-73.8203,10.0,54,30,6.75,CL,1699910030
332,dingcheng,32.1272,115.0394,3.74,59,0,1.26,CN,1699910030
333,chishmy,54.5765,55.3764,4.89,86,100,8.48,RU,1699910030
334,nyurba,63.2842,118.3319,-13.35,97,100,2.28,RU,1699910030
335,ain oussera,35.4514,2.9058,16.46,37,6,1.98,DZ,1699910030
336,itaituba,-4.2761,-55.9836,36.57,30,100,0.99,BR,1699910030
337,umm kaddadah,13.6017,26.6876,30.4,22,51,5.4,SD,1699910030
338,port-vila,-17.7338,168.3219,23.78,78,100,5.66,VU,1699910031
339,pikeville,37.4793,-82.5188,19.62,31,0,3.6,US,1699909751
340,golfito,8.639,-83.166,27.83,85,86,1.55,CR,1699910031
341,orange,33.7,-117.7675,28.2,25,75,2.57,US,1699910031
342,tsiombe,-25.3,45.4833,21.31,79,100,1.84,MG,1699910031
343,ak-dovurak,51.1833,90.6,-7.16,90,100,0.89,RU,1699910031
344,dakhla,23.6848,-15.958,20.01,77,62,5.14,EH,1699910031
345,kurumkan,54.3,110.3,-9.37,92,96,1.79,RU,1699910031
346,mount gambier,-37.8333,140.7667,10.91,88,100,0.44,AU,1699910031
347,monrovia,6.3005,-10.7969,26.84,83,98,2.85,LR,1699909797
